id,created_at,text,favorites,retweets
1259879058344751106,2020-05-11 16:12:29,@TrapFreaks @KingSavage2895 https://t.co/6fPNVDirho,11,6
1259872373160976384,2020-05-11 15:45:55,Show me if you’ve got a dick that can hit the spot ? 😈💦 https://t.co/0AIUopVyil,19,2
1259793788597305345,2020-05-11 10:33:39,@shotsofAlika I screamed,0,0
1259247473249394689,2020-05-09 22:22:47,RT @zed_willow: @boysputa @THEREALKEVX https://t.co/AWPSzLtOsw,0,9
1259246035995635715,2020-05-09 22:17:05,RT @PhatpussyLA: Who says white boys don’t have moves 😏 #thickbooty https://t.co/b6qD93MCYr,0,528
1258394768079564800,2020-05-07 13:54:27,@grgisthewerd https://t.co/rZbMsKtSzz,9,0
1258107727013969920,2020-05-06 18:53:51,RT @zed_willow: https://t.co/OVxrP4fVar,0,3
1257566500409524224,2020-05-05 07:03:12,RT @dickcharleh: This video is a masterpiece https://t.co/S4Dz1GNO9O,0,1336
1256617974808666115,2020-05-02 16:14:06,@strokegamekray @ChaosNY1 It’s me. I am someone,4,1
1255073753198997505,2020-04-28 09:57:55,"@veinydicks @dontaelafrance In the sense that a god seems weird to us humans, yes 🤤😍🤪",0,0
1254371428629123072,2020-04-26 11:27:08,@boysputa @xxxgreyporn https://t.co/suo2jJaBQd,33,5
1254343679197827073,2020-04-26 09:36:52,@boysputa @jaymichael12_ https://t.co/JMNd0QNjaH,6,1
1254129262250115078,2020-04-25 19:24:51,RT @zed_willow: More Vers than the bible 🍑🍆💦😈 https://t.co/QHF44FHCeH,0,4
1253799598411390976,2020-04-24 21:34:53,"RT @BB_ShoutOuts: #BareBackShoutOuts Presents:

@ezcumdump Lives &amp; Breaths To Be Bred DEEP By Every Top Out There!

 https://t.co/Qk7w5S0ryy",0,280
1253799271264145409,2020-04-24 21:33:35,@BB_ShoutOuts @ezcumdump oh hey that’s me,2,0
1253781633582411776,2020-04-24 20:23:30,@GodofArches stand 6ft away or else you’ll get hit 😍💦 https://t.co/myOCllb7it,80,8
1253746614965022724,2020-04-24 18:04:21,@boysputa @delusion_666 https://t.co/OmQUBLTNaQ,33,2
1253575827658280960,2020-04-24 06:45:42,@boysputa @andywithabigdic https://t.co/OXVaQMrY2Y,4,1
1253439698560856065,2020-04-23 21:44:46,which side are you taking? https://t.co/AhUphP5hsT,14,2
1253422820115111937,2020-04-23 20:37:42,@boysputa @chadsterbean https://t.co/lz9SES5u4H,0,0
1253421557675769856,2020-04-23 20:32:41,https://t.co/OVxrP4fVar,12,3
1253327291561553928,2020-04-23 14:18:06,@BruhFreaky @dnttrip29 👋🏾,0,0
1252348724669370369,2020-04-20 21:29:38,"RT @twinkerdoodel: Always think that @ViktorRomVisser's huge rod is aggressive &amp; powerful! Yes, it surely is! But when it's hidden deeply i…",0,340
1252203441792987136,2020-04-20 11:52:19,RT @zed_willow: 5 day load and couldn’t last a day longer 😫 https://t.co/ahK1eCIo9z,0,16
1252202567280537602,2020-04-20 11:48:51,love tasting myself 🤤💦 https://t.co/OBdrfVghXk,12,5
1251986623790829570,2020-04-19 21:30:46,@boysputa https://t.co/c4mo1ssNnK,53,6
1251883008010919936,2020-04-19 14:39:02,@gayxdude https://t.co/fpuuKpXmkh,9,3
1251825618532085761,2020-04-19 10:50:59,@boysputa https://t.co/GC30zVtXVu,3,0
1251620331984506883,2020-04-18 21:15:15,"RT @PIGBOYRUBEN: TIME TO LOAD UP MY ASS🍑🍑
WATCH MY NEW VIDEO
WITH KINKY XXL FUKKER
FROM BERLIN!🇩🇪
https://t.co/FRFF31lN9U💦 https://t.co/lZF…",0,58
1251608608275607554,2020-04-18 20:28:40,"RT @GodofArches: Anybody wanna devour my drumstick?
I’m having way too much fun over here!! 😂🍗⬇️
https://t.co/tSMK5EfB01 https://t.co/LHb9k…",0,4157
1251548058925531136,2020-04-18 16:28:04,"RT @zed_willow: hello, world.

#bareback #fucking #cumdump #anonsex https://t.co/vnUrPME30R",0,8
1251546608061296641,2020-04-18 16:22:18,More Vers than the bible 🍑🍆💦😈 https://t.co/QHF44FHCeH,17,4
1251542607764819969,2020-04-18 16:06:24,@SRhyheim https://t.co/HEIXj7xyEf,52,12
1251512924331560960,2020-04-18 14:08:27,@griffinbarrowsx @JBO_ent @JakeMorganXXX @GabrielCrossXXX 🦸‍♂️ Hero,2,0
1251465137145491456,2020-04-18 10:58:34,@LadBBC @nz_vegan fuck me 🤤🤤🤤,0,0
1251260421039947779,2020-04-17 21:25:06,RT @zed_willow: @boysputa @dominicanpipe https://t.co/bt8yVi6pMA,0,8
1251251319635169282,2020-04-17 20:48:56,@boystobreed https://t.co/nJurvMuAr5,2,0
1251245494975807495,2020-04-17 20:25:47,@boysputa @dominicanpipe https://t.co/bt8yVi6pMA,29,8
1251237662079541254,2020-04-17 19:54:40,@GodofArches 🤤,1,0
1251230458819600385,2020-04-17 19:26:02,tfw a guy spanks your ass with his cock 🤤#bbbh #gaysex #cumdump https://t.co/oaDT74stVM,5,1
1251184033247133703,2020-04-17 16:21:34,RT @vagnermourao7: Parrudinho se abrindo todo pro negão https://t.co/odpVnJ7Z4i,0,600
1251045985607921664,2020-04-17 07:13:00,@boysputa @THEREALKEVX https://t.co/AWPSzLtOsw,42,9
1250813426625961986,2020-04-16 15:48:54,RT @SRhyheim: Looking for an additional camera guy to travel with us. Anyone ok with nudity?👀 https://t.co/BAHpuhnuCa,0,1964
1250550325909639173,2020-04-15 22:23:26,"RT @GodofArches: I swear. I thought I fucking died! 😂
Join the cult ⬇️
https://t.co/tSMK5EfB01 https://t.co/FsiWOJWCCc",0,7022
1250548839272067072,2020-04-15 22:17:32,RT @XMANICAN: @SRhyheim Man I’m waiting on my invite always https://t.co/AfDvKXXsYX,0,43
1250501440533127170,2020-04-15 19:09:11,front 🍆or back 🍑? https://t.co/MWUA0RX4vE,5,1
1250375974555987970,2020-04-15 10:50:37,RT @zed_willow: @boysputa https://t.co/3gALTr5RRJ,0,11
1250357064624455681,2020-04-15 09:35:29,nothing like melting in your own hand https://t.co/Dp0cuGjn5e,6,1
1250308186554241028,2020-04-15 06:21:15,@boysputa https://t.co/bmieTqB0fS,9,0
1250306339160522758,2020-04-15 06:13:55,@boysputa https://t.co/3gALTr5RRJ,44,11
1250195781816025088,2020-04-14 22:54:36,wanting to bust after a workout https://t.co/OHOTEQ6tXI,6,0
1250187255764996100,2020-04-14 22:20:43,RT @SRhyheim: Who’s cum while having their prostate massages?  https://t.co/dvUqMq8wZa,0,2308
1250175266103660545,2020-04-14 21:33:05,"@Nicho214 yeah, where you want it? 😈",0,0
1250131057460088833,2020-04-14 18:37:25,@Nicho214 @Carlitosncharge 😈💦,0,0
1250035625606156290,2020-04-14 12:18:12,RT @SRhyheim: 😥I’m lonely. Would you quarantine with me? What would be the perks?https://t.co/yEgoqo447E,0,235
1249785766114443266,2020-04-13 19:45:21,@boysputa @kurtdovmeli https://t.co/yXG6Gcw4mW,33,3
1249717033337532417,2020-04-13 15:12:14,5 day load and couldn’t last a day longer 😫 https://t.co/ahK1eCIo9z,64,16
1249713687956533249,2020-04-13 14:58:56,cum-dripping and drilling with @ezcumdump https://t.co/8MQWVlifIu,58,18
1249698381024440320,2020-04-13 13:58:06,😈 https://t.co/9KH5GwGJtV,7,1
1249688377890418692,2020-04-13 13:18:22,"RT @Addictionadd2: New Video!!🔥🔞💪🏼

Full video:
https://t.co/c1Z6v1pj22 https://t.co/UqdJNoYHEj",0,4740
1249629578966044672,2020-04-13 09:24:43,@DiamondKiingXXL @jacen_zhu oof me next pleaseee https://t.co/4q2UAoWBDP,2,0
1249422999285108736,2020-04-12 19:43:50,"RT @BeauxxValkyrie: If I were an Oscar Mayer Weiner, everyone would be in love with me 💦 https://t.co/fufmgzmk5d",0,540
1249418880721784832,2020-04-12 19:27:28,"RT @kidsignificant: It might be cold out there, but it’s nice and warm in here #gay #gayporn #ass #booty #twerk https://t.co/A23PyQ7gBi",0,257
1249250437791985666,2020-04-12 08:18:08,https://t.co/DY5vwbeZzm,4,2
1248978755734908928,2020-04-11 14:18:34,"RT @ezcumdump: 🗣BEG FOR THE LOAD🗣

Just “Fuck the Cumdump!!” 
He shot so much it oozes onto his cock. Somehow this vid was removed &amp; one of…",0,428
1248956149266812929,2020-04-11 12:48:45,"any volunteers?

#gaysex #gay #gayporn #bigcock #bigdicks #rawislaw #bbbh https://t.co/NcWMIqrD1I",5,2
1248638134159650816,2020-04-10 15:45:04,ready to ride https://t.co/xvbgXrCuBv,5,0
1247890464251850752,2020-04-08 14:14:06,"hello, world.

#bareback #fucking #cumdump #anonsex https://t.co/vnUrPME30R",30,8
