id,created_at,text,favorites,retweets
1336641241560256514,2020-12-09 11:58:00,"Another warm-up blog post for to start another #100DaysOfCode 
https://t.co/YhmMNLVXh3 https://t.co/wBciMIZTt9",2,0
1336395874742775811,2020-12-08 19:43:00,Last piece of writing for day 1 of #100DaysOfCode challenge.https://t.co/vOthhpiXoW https://t.co/pOus32KUB4,1,4
1336347773000671236,2020-12-08 16:31:51,"Last challenge w/ explanation for day 1 of #100DaysOfCode 
&gt;&gt; https://t.co/JdLBJqgV6J https://t.co/XymJVfU9xa",1,2
1336320696708841473,2020-12-08 14:44:16,"Another simple python warm-up for everyone else doing #100DaysOfCode 
https://t.co/C16E9fxPKk https://t.co/jewGZRnOSX",6,3
1336295138683924481,2020-12-08 13:02:42,"For my #100DaysOfCode I  created a  blog 4  beginner/intermed #pythonistas. My @squarespace has 1 challenge per day w/ clear explanations &amp; links to docs. They will get harder as the days progress. Numpy/Pandas soon to come. Thnx @yu_angela for inspiration
https://t.co/tgxkwbVfUj https://t.co/ZKZRDICj9p",4,7
